episode,episode_reward,game_score,max_tile,episode_length,epsilon,loss
250,789.32,668,64,109,0.832205,9.861555
251,1128.36,972,128,114,0.831652,13.6057
252,1509.96,1312,128,168,0.830837,10.626543
253,943.36,816,64,123,0.83024,10.914502
254,1441.12,1236,128,169,0.829421,9.39269
255,799.12,704,64,110,0.828887,9.901389
256,562.8,432,64,65,0.828572,10.564364
257,1136.16,916,128,108,0.828048,8.028916
258,959.52,824,64,116,0.827485,8.656235
259,1144.04,960,128,119,0.826908,8.247376
260,1455.04,1252,128,158,0.826142,10.78455
261,1423.16,1232,128,144,0.825444,6.193768
262,1276.0,1056,128,135,0.824789,9.97464
263,1537.32,1296,128,150,0.824061,9.318192
264,1518.68,1276,128,147,0.823348,13.516413
265,1238.88,1064,64,146,0.82264,9.101709
266,783.0,632,64,96,0.822175,7.826176
267,1360.64,1148,128,137,0.82151,8.82794
268,859.28,740,64,105,0.821001,8.860506
269,813.56,704,64,107,0.820482,9.768124
270,1423.44,1168,128,140,0.819803,8.473703
271,693.04,580,64,92,0.819357,11.013549
272,1518.88,1320,128,155,0.818605,10.308761
273,565.04,484,64,74,0.818246,8.608381
274,1351.24,1208,64,166,0.817441,7.074043
275,1037.6,884,64,112,0.816898,8.601635
276,1295.2,1164,64,157,0.816137,10.940567
277,2456.52,2112,128,230,0.815021,11.839596
278,1661.16,1376,128,157,0.81426,9.341153
279,1416.12,1192,128,132,0.813619,13.992666
280,1721.12,1520,128,182,0.812737,10.180285
281,1749.68,1432,128,165,0.811936,10.583979
282,1770.36,1448,128,163,0.811146,10.45037
283,1456.92,1292,128,176,0.810292,11.063601
284,734.84,644,64,102,0.809798,9.554406
285,1512.4,1304,128,160,0.809022,8.761225
286,3026.64,2448,256,232,0.807896,11.577229
287,1709.52,1464,128,185,0.806999,8.565523
288,1327.0,1140,128,138,0.80633,7.255334
289,1199.56,1000,128,118,0.805758,14.196758
290,831.56,700,64,100,0.805273,8.617428
291,1533.24,1252,128,152,0.804535,11.62059
292,1081.44,904,64,117,0.803968,11.776179
293,175.48,176,16,62,0.803667,9.904557
294,900.64,780,64,107,0.803148,9.644515
295,644.24,580,64,96,0.802683,11.303307
296,636.76,548,64,86,0.802265,8.301831
297,943.84,836,64,126,0.801654,9.317392
298,680.56,584,64,91,0.801213,11.419317
299,2441.84,2156,128,261,0.799947,12.880257
300,1709.84,1428,128,171,0.799118,9.021053
301,1637.6,1332,128,152,0.798381,12.473541
302,1452.08,1256,128,150,0.797653,7.783378
303,1599.76,1404,128,180,0.79678,11.73138
304,802.16,704,64,112,0.796237,11.013826
305,1270.2,1056,128,126,0.795626,10.469003
306,701.0,620,64,88,0.795199,12.533955
307,798.92,688,64,104,0.794695,10.891053
308,329.16,288,32,65,0.794379,12.961188
309,1414.28,1136,128,115,0.793822,6.836638
310,1267.92,1056,128,126,0.793211,13.748805
311,1340.56,1148,128,132,0.79257,10.609868
312,1227.28,1040,128,128,0.79195,10.808575
313,709.24,588,64,94,0.791494,11.522654
314,752.36,596,64,87,0.791072,10.155701
315,1531.6,1284,128,155,0.79032,9.77737
316,694.56,556,64,79,0.789937,9.63615
317,759.96,624,64,90,0.7895,13.24946
318,1264.12,1096,128,145,0.788797,9.972029
319,1329.88,1124,128,142,0.788108,7.980997
320,740.6,616,64,89,0.787677,11.131825
321,626.36,560,64,93,0.787226,10.690142
322,1535.0,1304,128,160,0.78645,11.659168
323,805.48,656,64,95,0.785989,8.570905
324,1621.52,1364,128,167,0.785179,7.994363
325,1780.52,1428,128,162,0.784393,9.992302
326,1523.8,1396,128,196,0.783443,12.024088
327,1640.44,1392,128,169,0.782623,9.43062
328,1558.04,1268,128,150,0.781896,11.619227
329,1628.64,1384,128,161,0.781115,10.203966
330,1642.92,1388,128,162,0.780329,9.22467
331,632.4,552,64,87,0.779907,13.787356
332,1802.56,1596,128,181,0.779029,9.292903
333,1508.48,1320,128,164,0.778234,9.963066
334,1970.52,1728,128,191,0.777307,9.327909
335,1531.96,1280,128,140,0.776628,9.24804
336,1552.24,1320,128,162,0.775843,10.548238
337,915.52,888,64,145,0.775139,10.746737
338,1493.6,1320,128,163,0.774349,8.716616
339,829.52,788,64,134,0.773699,12.068363
340,705.92,576,64,86,0.773282,10.996155
341,759.76,620,64,94,0.772826,10.46731
342,945.08,836,64,129,0.7722,11.526456
343,753.08,628,64,93,0.771749,8.859894
344,785.4,676,64,111,0.771211,10.814741
345,647.76,584,64,96,0.770745,8.173059
346,1464.72,1280,128,154,0.769998,8.659498
347,1371.52,1136,128,139,0.769324,9.422533
348,2815.8,2352,256,244,0.768141,8.7026
349,2968.4,2336,256,212,0.767113,11.36923
350,832.4,688,64,103,0.766613,10.151144
351,431.52,352,32,67,0.766288,9.964725
352,2486.52,2068,256,185,0.765391,8.725375
353,1083.96,940,64,138,0.764722,10.668121
354,869.6,760,64,120,0.76414,9.831018
355,547.16,480,32,88,0.763713,10.459446
356,2680.6,2248,256,218,0.762656,10.290932
357,2795.12,2372,256,248,0.761453,9.709748
358,607.68,512,64,84,0.761045,12.902006
359,1656.84,1404,128,174,0.760201,11.733999
360,1186.72,1012,128,122,0.75961,11.640453
361,1187.64,1040,128,132,0.75897,10.780163
362,1611.44,1376,128,166,0.758164,9.525538
363,1845.24,1508,128,167,0.757355,11.638559
364,711.04,608,64,95,0.756894,11.375923
365,1525.48,1288,128,147,0.756181,9.641068
366,410.32,388,32,87,0.755759,10.594934
367,848.56,708,64,102,0.755264,10.546468
368,896.84,732,64,108,0.75474,13.445145
369,1650.6,1408,128,164,0.753945,13.350132
370,1747.2,1456,128,172,0.753111,10.88482
371,1328.76,1084,128,123,0.752514,8.967503
372,1314.08,1084,128,132,0.751874,13.124308
373,1149.92,1008,128,130,0.751243,11.024315
374,1589.76,1376,128,170,0.750419,11.172495
375,469.08,404,32,80,0.750031,8.372066
376,1548.56,1336,128,163,0.74924,8.872021
377,1492.12,1204,128,145,0.748537,11.707731
378,1655.92,1368,128,166,0.747732,11.255242
379,764.36,616,64,88,0.747305,10.047207
380,581.36,556,64,98,0.74683,10.611275
381,551.24,484,64,84,0.746423,10.516099
382,837.96,760,64,130,0.745792,12.321463
383,779.88,724,64,128,0.745171,12.010133
384,2409.92,2064,256,201,0.744196,15.756857
385,1427.52,1320,128,166,0.743391,10.967486
386,1553.68,1320,128,158,0.742625,10.547922
387,1433.24,1248,128,153,0.741883,11.79498
388,1558.64,1308,128,155,0.741131,10.597864
389,1799.2,1608,128,196,0.740181,9.749518
390,1569.92,1400,128,191,0.739254,10.963295
391,818.12,708,64,103,0.738755,12.055159
392,865.0,768,64,112,0.738212,11.070839
393,861.36,724,64,108,0.737688,11.135531
394,1068.0,912,64,121,0.737101,14.467035
395,2763.44,2408,256,261,0.735835,10.018244
396,1497.48,1368,128,189,0.734918,10.944956
397,1495.24,1228,128,144,0.73422,13.058672
398,888.68,724,64,102,0.733725,12.026476
399,1088.96,964,64,136,0.733066,12.551004
400,720.08,600,64,94,0.73261,9.761011
401,848.56,736,64,106,0.732096,12.424036
402,1587.44,1352,128,162,0.73131,9.465471
403,1520.56,1308,128,153,0.730568,10.127167
404,790.52,708,64,116,0.730005,10.674165
405,1728.44,1472,128,185,0.729108,11.067923
406,1623.52,1420,128,170,0.728284,12.017987
407,733.88,620,64,98,0.727808,12.010636
408,887.6,724,64,95,0.727348,14.230512
409,1482.04,1308,128,167,0.726538,12.475765
410,1111.6,996,128,129,0.725912,9.578606
411,838.2,756,64,121,0.725325,11.614574
412,1597.72,1344,128,164,0.72453,9.878124
413,953.48,812,64,120,0.723948,11.675051
414,483.8,408,32,73,0.723594,12.66122
415,805.72,720,64,108,0.72307,13.593006
416,1529.72,1304,128,157,0.722308,11.718338
417,1445.32,1276,128,153,0.721566,11.389303
418,391.36,352,32,73,0.721212,10.354797
419,1527.96,1340,128,169,0.720393,11.599408
420,750.76,620,64,92,0.719946,10.098104
421,454.12,392,32,74,0.719588,12.995776
422,841.96,724,64,107,0.719069,12.376301
423,1668.04,1380,128,160,0.718293,12.618464
424,1703.64,1504,128,181,0.717415,14.155976
425,388.2,320,32,65,0.7171,14.126741
426,2876.44,2440,256,263,0.715824,12.071991
427,1607.88,1372,128,164,0.715029,10.369501
428,1773.92,1472,128,171,0.714199,11.87421
429,1736.04,1428,128,164,0.713404,9.630817
430,2945.36,2364,256,217,0.712351,10.077744
431,1075.08,928,128,118,0.711779,9.805804
432,1573.72,1372,128,164,0.710984,12.239397
433,1662.32,1452,128,187,0.710077,13.688332
434,782.68,644,64,92,0.709631,8.712198
435,892.84,780,64,113,0.709082,8.734104
436,817.08,724,64,110,0.708549,9.751909
437,551.24,464,64,76,0.70818,13.616701
438,1896.32,1608,128,180,0.707307,13.253275
439,2551.04,2160,256,230,0.706192,13.83062
440,620.2,576,64,104,0.705687,11.60701
441,1444.92,1236,128,145,0.704984,10.959295
442,1196.08,1060,64,138,0.704315,13.842245
443,2782.4,2436,256,260,0.703054,13.940199
444,850.84,732,64,109,0.702525,12.329361
445,1497.4,1360,128,169,0.701706,8.549511
446,1375.32,1184,128,138,0.701036,11.548922
447,1486.88,1264,128,145,0.700333,12.503498
448,1705.52,1484,128,189,0.699416,11.794133
449,2743.24,2268,256,219,0.698354,10.912362
450,1487.6,1232,128,141,0.69767,8.989362
451,1405.68,1204,128,140,0.696991,16.331429
452,858.32,748,64,119,0.696414,15.060968
453,1775.08,1520,128,191,0.695488,8.09305
454,1037.52,872,64,121,0.694901,9.495173
455,880.4,744,64,108,0.694377,11.688767
456,1645.08,1384,128,166,0.693572,10.209735
457,988.48,868,64,135,0.692917,11.532019
458,1341.84,1184,128,152,0.69218,11.088125
459,1356.44,1132,128,139,0.691506,12.988344
460,1628.52,1400,128,177,0.690648,13.925452
461,1665.04,1396,128,164,0.689852,12.030534
462,828.72,704,64,101,0.689362,12.512638
463,3535.6,2924,256,297,0.687922,13.939496
464,1430.04,1248,128,150,0.687194,10.232187
465,659.48,520,64,72,0.686845,10.225729
466,674.68,588,64,89,0.686414,12.411745
467,983.84,896,64,134,0.685764,13.336145
468,863.44,716,64,107,0.685245,14.072609
469,831.32,736,64,117,0.684677,8.505244
470,2000.04,1680,128,195,0.683731,8.724602
471,866.28,740,64,107,0.683213,10.997251
472,388.68,336,32,67,0.682888,10.911045
473,1128.76,1024,128,135,0.682233,13.259416
474,1648.72,1364,128,158,0.681467,11.930979
475,769.4,648,64,102,0.680972,12.241833
476,1279.48,1132,128,147,0.680259,15.790474
477,713.2,572,64,85,0.679847,9.410746
478,759.8,640,64,97,0.679376,9.120793
479,249.68,208,16,56,0.679105,12.100977
480,651.32,584,64,93,0.678654,10.733959
481,1936.28,1628,128,188,0.677742,10.175859
482,1545.24,1328,128,162,0.676956,11.169188
483,1025.0,892,64,127,0.67634,10.263102
484,2383.68,2060,128,229,0.675229,11.724051
485,463.0,384,32,72,0.67488,9.42668
486,1477.84,1204,128,131,0.674245,12.474455
487,1068.28,928,64,128,0.673624,11.231704
488,1714.4,1432,128,172,0.67279,11.593781
489,773.16,636,64,88,0.672363,14.839348
490,536.64,420,32,71,0.672019,10.471639
491,840.0,712,64,108,0.671495,10.561941
